artist,song,spotify_song_name,spotify_id,preview,songs,set_title_split,dj_id,song_id,size
2 Sides Of Soul,Say Mama [Lapsus],Say Mama - Original Mix,6aYP1tSk7xBppdAuEjC4tC,https://p.scdn.co/mp3-preview/1d9338fb24db6dddf20ffc71498a9687d1863180?cid=461b02dc885841c0a798981c336f46f0,Say Mama [Lapsus],Supernova,1,5,2
21 Savage,Bank Account,Bank Account,2fQrGHiQOvpL9UgPvtYy6G,https://p.scdn.co/mp3-preview/249295a31e99403d93c629504ba96e2f636cca20?cid=461b02dc885841c0a798981c336f46f0,Bank Account,DJ Mugzee,1,6,2
4 Strings,Wondering,Wondering - Radio Edit,5Zdmkal4CNnC5EY9qCSrMi,https://p.scdn.co/mp3-preview/62cc3a0feb20aa1d31b999268340c229171c5e1a?cid=461b02dc885841c0a798981c336f46f0,Wondering,Manuel Le Saux,1,7,1
808 State,Pacific State,Pacific State,2RZdAwLqwWtazRLZ62vHwI,https://p.scdn.co/mp3-preview/b735c71218e808582771352df72dedc7d43af919?cid=461b02dc885841c0a798981c336f46f0,Pacific State,Tall Paul,1,8,1
A Guy Called Gerald,Humanity (Ashley Beedle's Love And Compassion),Humanity - Ashley Beedle's Love And Compassion,2zVqB1xThHhGT0RKArBH1o,https://p.scdn.co/mp3-preview/d1d9c9010375f87a97854c2b8ae4c699808374b7?cid=461b02dc885841c0a798981c336f46f0,Humanity (Ashley Beedle's Love And Compassion),Beat Syndrome,1,9,2
A Sides,Vortex,Bring Me Back to Life (feat. Vortex & Yelling at Cats),6yKaVP8UQki1lxAVRJoSLH,https://p.scdn.co/mp3-preview/aafe4e40d3ec43e53afd2ab68dcc2007957bf506?cid=461b02dc885841c0a798981c336f46f0,Vortex,Mauoq,1,10,1
A-Star,Kupe Dance,Kupe Dance,5FNbILqK6BTDR6qLeKQ9uB,https://p.scdn.co/mp3-preview/950d56bab57e81d6d264dd94768b78a16e2821fc?cid=461b02dc885841c0a798981c336f46f0,Kupe Dance,Omo Frenchie,1,11,1
A.Paul,Conform (Klaudia Gawlas Remix),Conform - Klaudia Gawlas Remix,7wQ92CpKm8DdXPbEseerrI,https://p.scdn.co/mp3-preview/458acb9964404f10e5625dbb0d85df2940ccc87d?cid=461b02dc885841c0a798981c336f46f0,Conform (Klaudia Gawlas Remix),A.Paul,1,12,1
A.Paul,Muriatik (Steve Shaden Remix),Muriatik - Steve Shaden Remix,6tzL7VKVOtFdSETFGCWR05,https://p.scdn.co/mp3-preview/eea38ac1392f9b1064bd75915e926ad3122978e2?cid=461b02dc885841c0a798981c336f46f0,Muriatik (Steve Shaden Remix),Deborah De Luca,1,13,1
&ME,Cape Coast,Cape Coast,6JuCp2v9s7EKrR2UMOJJWh,https://p.scdn.co/mp3-preview/05c0363185dee5a39405274c1de901c2527a2119?cid=461b02dc885841c0a798981c336f46f0,Cape Coast,Fish Go Deep,2,4,3
" Helmut Ebritsch, Paul Loraine",Lifted,Lifted,5vXlU52ohBRZb1uUw4GPqA,https://p.scdn.co/mp3-preview/be0320d4b2432e1fb8aba02f6b1722edcd71eed3?cid=461b02dc885841c0a798981c336f46f0,Lifted,Franksen,2,2,3
A Guy Called Gerald,Humanity (Ashley Beedle's Love And Compassion),Humanity - Ashley Beedle's Love And Compassion,2zVqB1xThHhGT0RKArBH1o,https://p.scdn.co/mp3-preview/d1d9c9010375f87a97854c2b8ae4c699808374b7?cid=461b02dc885841c0a798981c336f46f0,Humanity (Ashley Beedle's Love And Compassion),Beat Syndrome,2,9,2
A$AP Rocky,Babushka Boi,Babushka Boi,643PW82aBMUa1FiWi5VQY7,https://p.scdn.co/mp3-preview/831dae9f38d24f6f02f126326882e86f6916847f?cid=461b02dc885841c0a798981c336f46f0,Babushka Boi,DJ Mugzee,2,15,1
Aadja,State Of Rave (Viers Remix),State Of Rave - Viers Remix,04CsjSLePgO5un9nnerwA7,https://p.scdn.co/mp3-preview/0e511c2dcdc2ab717b479e937150f8d8a980a145?cid=461b02dc885841c0a798981c336f46f0,State Of Rave (Viers Remix),DJ Up-Space,2,16,1
